,SUBBASIN,devAge
0,WS_03,4.9403736318993285
1,WS_01,4.988112117365744
2,FL_03,4.942789622963355
3,TF_01,4.976685073384856
4,NE_03,4.762443142843874
5,TF_02,4.990760675232137
6,NE_02,4.962253682312119
7,NT_03,4.9968965620886845
8,LP_02,4.99520660899881
9,WS_02,4.9998655156210186
10,NT_08,4.9851589795538676
11,FS_01,4.994615602662031
12,JC_03,4.81547159466969
13,FL_06,4.9923975648211165
14,WS_04,4.985978227596986
15,NT_10,4.9923373147021675
16,NE_04,4.965853443555604
17,LC_01,4.9979261523399945
18,NE_01,4.952130590542305
19,NT_04,4.994480131178058
20,FS_03,4.999482928070123
21,LP_03,4.9561215512213455
22,FS_05,4.99974989098508
23,NT_02,4.995870224414905
24,LP_01,5.0
25,NT_07,4.999743349066374
26,TF_05,4.988884892688236
27,LC_04,4.991189900546959
28,FS_15,5.0
29,FS_04,4.997999491301865
30,NT_09,4.994413337658653
31,FL_07,4.9989986232865995
32,NE_05,4.990137618337562
33,FS_13,4.999531994396296
34,LC_06,5.0
35,LC_02,4.988131225351927
36,FS_14,4.9984554034498325
37,FL_04,4.992108388805712
38,FS_11,4.973745393590315
39,NT_06,4.930890128730634
40,FL_05,4.9985157912998615
41,FL_02,4.961520362201287
42,JC_02,4.701497936375597
43,NE_06,4.989072187758913
44,FS_08,4.993034596579496
45,TF_03,4.989748913190896
46,LC_05,4.9950575406926205
47,LP_06,4.953165763565689
48,FS_10,5.0
49,JC_01,4.9322488017571615
50,LP_04,4.936096555141429
51,FL_09,4.981749636920619
52,TF_06,4.98443925191769
53,FS_12,5.0
54,FS_09,5.0
55,NT_05,4.997690093281039
56,FS_02,4.999344442673442
57,FS_06,5.0
58,FS_07,4.999479779445335
59,NT_11,4.9986299828404634
60,LC_03,4.9507526168629745
61,NT_01,4.9712421163934195
62,LP_05,4.98060591969433
63,FL_08,4.989784314222201
64,FL_01,4.99258530709416
65,TF_04,4.982257159629245
66,FL_10,5.0
