,SUBBASIN,ditches_count
0,FL_01,7
1,FL_02,44
2,FL_03,29
3,FL_04,21
4,FL_05,34
5,FL_06,12
6,FL_07,13
7,FL_08,2
8,FL_09,26
9,FL_10,4
10,FS_01,22
11,FS_02,26
12,FS_03,15
13,FS_04,2
14,FS_05,92
15,FS_06,30
16,FS_07,39
17,FS_08,28
18,FS_09,1
19,FS_10,7
20,FS_11,7
21,FS_12,13
22,FS_13,7
23,FS_14,3
24,FS_15,1
25,JC_03,9
26,LC_01,5
27,LC_02,12
28,LP_01,20
29,LP_02,53
30,LP_04,7
31,LP_05,57
32,LP_06,10
33,NE_01,6
34,NE_02,33
35,NE_03,17
36,NE_04,11
37,NE_05,3
38,NE_06,11
39,NT_02,47
40,NT_03,25
41,NT_04,17
42,NT_05,26
43,NT_06,1
44,NT_07,14
45,NT_09,10
46,NT_10,7
47,NT_11,30
48,TF_01,2
49,TF_03,47
50,WS_03,13
51,WS_04,22
