,SUBBASIN,imperviousness
0,WS_03,45.431848364466425
1,WS_01,20.075865454393224
2,FL_03,49.80384546637665
3,TF_01,58.47939953104959
4,NE_03,29.18381331364495
5,TF_02,90.29796232107239
6,NE_02,22.8297815430049
7,NT_03,48.27439752032603
8,LP_02,41.72751332696647
9,WS_02,36.07804927442921
10,NT_08,47.329364408148656
11,FS_01,54.43228575058937
12,JC_03,49.91374428968372
13,FL_06,47.4806236329104
14,WS_04,41.385296731768946
15,NT_10,56.13726227115075
16,NE_04,28.337992509329432
17,LC_01,50.340038705163856
18,NE_01,36.07432766160974
19,NT_04,19.361930147499958
20,FS_03,46.975332891826376
21,LP_03,44.30525239865925
22,FS_05,72.48558777956136
23,NT_02,50.998772478845446
24,LP_01,71.33758026974876
25,NT_07,48.511536484866745
26,TF_05,60.03415780361859
27,LC_04,48.7291738494862
28,FS_15,92.22083834421217
29,FS_04,51.75212672023
30,NT_09,40.46883680229111
31,FL_07,44.33243322541135
32,NE_05,25.723248878149594
33,FS_13,91.18159880753447
34,LC_06,22.545854875624087
35,LC_02,53.70283391817556
36,FS_14,77.70182249666783
37,FL_04,51.40820783463287
38,FS_11,38.58602503903742
39,NT_06,38.213914010866326
40,FL_05,58.64981651750161
41,FL_02,39.84783561384607
42,JC_02,21.434376565030348
43,NE_06,49.238641504368815
44,FS_08,48.873715063985145
45,TF_03,82.60651796809636
46,LC_05,52.85479642480116
47,LP_06,5.903439682906508
48,FS_10,51.416028246413
49,JC_01,30.929869261783562
50,LP_04,38.30772492818476
51,FL_09,44.68788727521467
52,TF_06,62.28301055412205
53,FS_12,57.394541126931216
54,FS_09,52.470042049162046
55,NT_05,47.49494119856264
56,FS_02,77.49574640172757
57,FS_06,68.53433184498982
58,FS_07,69.83287413806435
59,NT_11,68.36008574616083
60,LC_03,39.69089583944709
61,NT_01,12.591994615851407
62,LP_05,35.97693239287965
63,FL_08,58.08670178215943
64,FL_01,44.670504623163815
65,TF_04,86.99289773764578
66,FL_10,58.52848544776268
