,SUBBASIN,Weighted_Pavement_C
0,FL_01,59.70906176220455
1,FL_02,60.19654350612982
2,FL_03,65.397894772304
3,FL_04,61.0697654239641
4,FL_05,59.21081907390075
5,FL_06,61.70951440559464
6,FL_07,57.02165018709347
7,FL_08,59.916780175582886
8,FL_09,59.00428987468871
9,FL_10,52.223397562069316
10,FS_01,59.52034951454317
11,FS_02,56.1097428152816
12,FS_03,60.856079851299356
13,FS_04,58.42497366657874
14,FS_05,56.86498336606541
15,FS_06,52.335544984521384
16,FS_07,59.48644351015017
17,FS_08,54.19463848149248
18,FS_09,53.641258718486746
19,FS_10,58.43414776058451
20,FS_11,60.23115151715272
21,FS_12,58.31039388320221
22,FS_13,50.369308300583924
23,FS_14,37.487918649649714
24,FS_15,42.50499947818402
25,JC_01,69.06832231698006
26,JC_02,56.60794496679359
27,JC_03,70.67615930153644
28,LC_01,59.31803182007698
29,LC_02,62.941477161624476
30,LC_03,60.590014505741244
31,LC_04,60.920310908646094
32,LC_05,60.1152871928803
33,LC_06,51.395514692968455
34,LP_01,55.71203128406097
35,LP_02,55.41860767614921
36,LP_03,64.41259942653282
37,LP_04,66.08511924143372
38,LP_05,69.19548165619969
39,LP_06,44.377767781572715
40,NE_01,61.99390284268214
41,NE_02,72.63303099776938
42,NE_03,72.51220377188585
43,NE_04,68.50199620165183
44,NE_05,78.26889169637325
45,NE_06,46.477825091642174
46,NT_01,45.1023582353288
47,NT_02,71.79629208007665
48,NT_03,61.50710584928232
49,NT_04,52.221397157688834
50,NT_05,60.12336811406081
51,NT_06,54.32022078905041
52,NT_07,52.41367802129763
53,NT_08,54.70421795333
54,NT_09,42.70324914694854
55,NT_10,48.35950843033379
56,NT_11,57.042356819151266
57,TF_01,36.97336858476185
58,TF_02,49.72808203382578
59,TF_03,64.7081256174578
60,TF_04,58.68111212074043
61,TF_05,64.56112273025946
62,TF_06,42.72513950380921
63,WS_01,71.72543348247595
64,WS_02,74.09216456466649
65,WS_03,62.78055262723026
66,WS_04,56.393970317419445
