SUBBASIN,pm_urban_heat
FL_01,29.309959017677517
FL_02,28.856208755656716
FL_03,28.501146394967744
FL_04,28.894392712412536
FL_05,29.299657011348213
FL_06,29.558469056419177
FL_07,29.172903415495504
FL_08,29.419913072682217
FL_09,28.798609880984564
FL_10,29.313801810824522
FS_01,29.170556452798145
FS_02,28.492465463982324
FS_03,28.21555456942205
FS_04,28.4222785237816
FS_05,29.350494306676936
FS_06,29.104981250776085
FS_07,29.139132502167648
FS_08,29.04138692797354
FS_09,29.30680921137518
FS_10,29.014862499255184
FS_11,28.88130296471647
FS_12,29.049586010485978
FS_13,28.70343002
FS_14,28.70343002
FS_15,28.70343002
JC_01,28.940437528578073
JC_02,28.322136720650235
JC_03,29.461424307250418
LC_01,29.067574695791077
LC_02,29.293199046196758
LC_03,29.388542151391263
LC_04,29.151373759538153
LC_05,28.46740899025769
LC_06,29.15323099455274
LP_01,28.776787421492894
LP_02,29.11536158107274
LP_03,29.031554947466713
LP_04,29.18521316296805
LP_05,29.158754447118476
LP_06,29.04461353857557
NE_01,28.64565354390032
NE_02,28.628573187846925
NE_03,29.072603902875613
NE_04,29.01911788082336
NE_05,28.836877182570362
NE_06,28.706123569257343
NT_01,26.10256451
NT_02,28.20273141429861
NT_03,28.189469134903685
NT_04,27.040896222407753
NT_05,28.955793662143776
NT_06,27.810533139076767
NT_07,29.223466961863114
NT_08,26.47251310073508
NT_09,27.506596617910866
NT_10,29.52007202997673
NT_11,28.775299461195623
TF_01,28.70343002
TF_02,28.70343002
TF_03,28.741516106974235
TF_04,29.046688171496854
TF_05,29.04655571302183
TF_06,28.70343002
WS_01,27.222687330359157
WS_02,27.787338502795514
WS_03,28.31637360156362
WS_04,28.01956439173914
