group,field
land_use,area_acres
land_use,lu_resair_pct
land_use,lu_commcmu_pct
land_use,lu_rgcd_pct
land_use,lu_com_pct
land_use,lu_indh_pct
land_use,lu_indl_pct
land_use,lu_resl_pct
land_use,lu_ins_pct
land_use,lu_resm_pct
land_use,lu_resmfhd_pct
land_use,lu_comn_pct
land_use,lu_comnmu_pct
land_use,lu_os_pct
land_use,lu_shore_pct
land_use,lu_rgctm_pct
land_cover,area_acres
land_cover,lc_pasture_pct
land_cover,lc_grass_pct
land_cover,lc_water_pct
land_cover,lc_imp_roof_pct
land_cover,lc_imp_nonroof_pct
land_cover,lc_imp_total_pct
runoff,runoff_depth_inches
runoff,runoff_volume_cuft
runoff,runoff_volume_cuft_generated
runoff,runoff_volume_cuft_reduced
runoff,eff_area_acres
tmnt_summary,tmnt_facility_count
tmnt_summary,treated_area_acres
tmnt_summary,treated_area_pct
tmnt_summary,basicwq_area_acres
tmnt_summary,basicwq_area_pct
tmnt_summary,enhwq_area_acres
tmnt_summary,enhwq_area_pct
tmnt_summary,fc_area_acres
tmnt_summary,fc_area_pct
tmnt_summary,eff_area_acres
tmnt_summary,eff_area_pct
poc_conc,DEHP_conc_mg/l
poc_conc,PHE_conc_mg/l
poc_conc,PYR_conc_mg/l
poc_conc,TCu_conc_mg/l
poc_conc,TN_conc_mg/l
poc_conc,TP_conc_mg/l
poc_conc,TSS_conc_mg/l
poc_conc,TZn_conc_mg/l
poc_load_reduction,runoff_volume_cuft_reduced
poc_load_reduction,runoff_volume_pct_reduced
poc_load_reduction,DEHP_load_lbs_reduced
poc_load_reduction,DEHP_load_pct_reduced
poc_load_reduction,PHE_load_lbs_reduced
poc_load_reduction,PHE_load_pct_reduced
poc_load_reduction,PYR_load_lbs_reduced
poc_load_reduction,PYR_load_pct_reduced
poc_load_reduction,TCu_load_lbs_reduced
poc_load_reduction,TCu_load_pct_reduced
poc_load_reduction,TN_load_lbs_reduced
poc_load_reduction,TN_load_pct_reduced
poc_load_reduction,TP_load_lbs_reduced
poc_load_reduction,TP_load_pct_reduced
poc_load_reduction,TSS_load_lbs_reduced
poc_load_reduction,TSS_load_pct_reduced
poc_load_reduction,TZn_load_lbs_reduced
poc_load_reduction,TZn_load_pct_reduced
